"County","Amendment2016.Yes","Amendment2016.No","Amendment2016.PercentYes"
"Douglas",30620,16718,64.7
"Rice",2383,798,74.9
"Johnson",210866,68871,75.4
"Riley",15594,5003,75.7
"Shawnee",55053,14946,78.6
"Chase",1160,299,79.5
"Sedgwick",142768,33142,81.2
"Lyon",9638,2173,81.6
"Wyandotte",37353,8146,82.1
"Harvey",11832,2470,82.7
"Leavenworth",24572,4693,84
"Saline",17667,3270,84.4
"Republic",2040,368,84.7
"Ellis",9754,1747,84.8
"Jefferson",6784,1211,84.9
"Finney",7498,1257,85.6
"Labette",6680,1117,85.7
"Allen",4377,725,85.8
"Crawford",12093,2005,85.8
"Atchison",5436,874,86.1
"Wabaunsee",2802,454,86.1
"Kingman",2842,455,86.2
"McPherson",10596,1699,86.2
"Reno",19914,3200,86.2
"Cowley",10463,1632,86.5
"Pottawatomie",8752,1355,86.6
"Butler",23317,3584,86.7
"Morris",2221,338,86.8
"Edwards",1103,166,86.9
"Jewell",1255,190,86.9
"Franklin",8820,1307,87.1
"Miami",12696,1885,87.1
"Marshall",3700,541,87.2
"Neosho",5273,774,87.2
"Osage",5967,875,87.2
"Cloud",3265,468,87.5
"Ford",6403,913,87.5
"Jackson",4813,684,87.6
"Marion",4643,656,87.6
"Brown",3434,481,87.7
"Coffey",3489,480,87.9
"Geary",6074,837,87.9
"Stanton",608,84,87.9
"Osborne",1534,208,88.1
"Sumner",8315,1124,88.1
"Clay",3251,434,88.2
"Pawnee",2272,303,88.2
"Barton",8818,1169,88.3
"Dickinson",6923,914,88.3
"Hodgeman",846,112,88.3
"Seward",3896,518,88.3
"Kiowa",878,115,88.4
"Pratt",3331,438,88.4
"Comanche",739,96,88.5
"Lincoln",1273,166,88.5
"Anderson",2797,355,88.7
"Bourbon",5172,659,88.7
"Trego",1263,161,88.7
"Clark",841,106,88.8
"Ellsworth",2253,281,88.9
"Decatur",1235,151,89.1
"Greeley",548,67,89.1
"Greenwood",2443,298,89.1
"Rush",1280,157,89.1
"Smith",1742,214,89.1
"Washington",2302,283,89.1
"Barber",1884,226,89.3
"Elk",1116,133,89.4
"Montgomery",10150,1188,89.5
"Hamilton",753,87,89.6
"Mitchell",2496,290,89.6
"Russell",2735,319,89.6
"Woodson",1238,143,89.6
"Rawlins",1264,145,89.7
"Cherokee",7339,832,89.8
"Harper",2156,245,89.8
"Chautauqua",1609,178,90
"Nemaha",4338,481,90
"Linn",3729,411,90.1
"Norton",1891,207,90.1
"Thomas",3099,342,90.1
"Logan",1180,128,90.2
"Wilson",3133,335,90.3
"Lane",752,80,90.4
"Haskell",1138,119,90.5
"Cheyenne",1217,126,90.6
"Rooks",2071,214,90.6
"Wichita",833,86,90.6
"Ottawa",2517,257,90.7
"Gove",1148,117,90.8
"Sherman",2214,224,90.8
"Stafford",1661,167,90.9
"Wallace",691,69,90.9
"Grant",1999,195,91.1
"Meade",1516,148,91.1
"Ness",1240,121,91.1
"Graham",1125,104,91.5
"Kearny",1197,110,91.6
"Phillips",2307,202,91.9
"Doniphan",2981,255,92.1
"Scott",1926,165,92.1
"Gray",1798,148,92.4
"Sheridan",1187,98,92.4
"Morton",1032,82,92.6
"Stevens",1620,126,92.8
